"filename", "language", "JSON", "JSON with Comments", "TypeScript React", "Markdown", "HTML", "JavaScript", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\AsignedTasks.tsx", "TypeScript React", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\components\TasksList.tsx", "TypeScript React", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx", "TypeScript React", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx", "TypeScript React", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx", "TypeScript React", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 10, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\__tests__\Projects.test.tsx", "TypeScript React", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx", "TypeScript React", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 9, 115
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx", "TypeScript React", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx", "TypeScript React", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 6, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx", "TypeScript React", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 10, 117
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx", "TypeScript React", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx", "TypeScript React", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 8, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx", "TypeScript React", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectSettings.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx", "TypeScript React", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx", "TypeScript React", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 4, 73
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\UsersPieChart.tsx", "TypeScript React", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 7, 125
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx", "TypeScript React", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx", "TypeScript React", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx", "TypeScript React", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TasksTable.tsx", "TypeScript React", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Statistics.tsx", "TypeScript React", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\StopWatch.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 147, 0, 0, 0, 0, 0, 0, 3, 15, 165
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\__tests_\StopWatch.test.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\AccordionItem.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\DayEntry.tsx", "TypeScript React", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 12, 93
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\Login.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\profile\Profile.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\RemindPassword.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\components\RemindPasswordForm.tsx", "TypeScript React", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 6, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\reset-password\ResetPassword.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\verify-email\MailVerification.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\AdminRoute.tsx", "TypeScript React", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 5, 121
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PrivateRoute.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PublicRoute.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\admin.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 59
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 14, 59
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 5, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\notification.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 4, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\sse.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 20, 111
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\clients\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
