"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx", "TypeScript React", 0, 0, 0, 83, 0, 0, 0, 0, 0, 6, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx", "TypeScript React", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx", "TypeScript React", 0, 0, 0, 107, 0, 0, 0, 0, 0, 10, 117
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx", "TypeScript React", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx", "TypeScript React", 0, 0, 0, 68, 0, 0, 0, 0, 0, 7, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx", "TypeScript React", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx", "TypeScript React", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 0, 0, 6, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx", "TypeScript React", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TasksTable.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Statistics.tsx", "TypeScript React", 0, 0, 0, 59, 0, 0, 0, 0, 25, 7, 91
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\StopWatch.tsx", "TypeScript React", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 0, 114, 0, 0, 0, 0, 2, 12, 128
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\AccordionItem.tsx", "TypeScript React", 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\DayEntry.tsx", "TypeScript React", 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\Login.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\verify-email\MailVerification.tsx", "TypeScript React", 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
