"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\projectsSlice.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\reducer.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\selectors.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\actions.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\taskSlice.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\types.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Modal.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Project.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 12, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Task.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 21, 102
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\User.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\actions.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\reducer.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\types.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\usersSlice.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\types\react-table-config.d.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 0, 0, 5, 9, 121
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\error.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\notificationts.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\timer.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 5, 17, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\validators.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 28, 30447, 26, 1035, 20, 3350, 8, 1, 21, 556, 35492
